target_id,kind,paper_locator,source_locator,runner,config,output_path,acceptance_mode,comparison_metric,tolerance,status,report_anchor
tab_ex1_2d_linear,table,Tab:Ex1_2dLin (Appendix),arxiv.tex:1421-1450,python3 scripts/run_target.py --target-id tab_ex1_2d_linear,configs/targets/tab_ex1_2d_linear.json,artifacts/tables/tab_ex1_2d_linear.tex,numeric-equivalence,support-and-max-abs-coeff-err,support exact; max_abs_coeff_err<=0.05,MATCHED,tab:ex1-2d-linear
tab_ex1_2d_cubic,table,Tab:Ex1_2dCub (Appendix),arxiv.tex:1455-1487,python3 scripts/run_target.py --target-id tab_ex1_2d_cubic,configs/targets/tab_ex1_2d_cubic.json,artifacts/tables/tab_ex1_2d_cubic.tex,numeric-equivalence,support-and-max-abs-coeff-err,support exact; max_abs_coeff_err<=0.05,MATCHED,tab:ex1-2d-cubic
fig_ex1_2d,figure,Fig:Ex1,arxiv.tex:520-600,python3 scripts/run_target.py --target-id fig_ex1_2d,configs/targets/fig_ex1_2d.json,artifacts/figures/fig_ex1_2d.png,qualitative-structural,trajectory_rmse,trajectory_rmse<=0.05 for both systems,MATCHED,fig:ex1-2d
tab_ex1_3d,table,Tab:Ex1_3d (Appendix),arxiv.tex:1492-1520,python3 scripts/run_target.py --target-id tab_ex1_3d,configs/targets/tab_ex1_3d.json,artifacts/tables/tab_ex1_3d.tex,numeric-equivalence,support-and-max-abs-coeff-err,support exact; max_abs_coeff_err<=0.05,MATCHED,tab:ex1-3d
tab_lorenz_coefficients,table,"Lorenz table, eta=1.0 (Appendix)",arxiv.tex:1520-1560,python3 scripts/run_target.py --target-id tab_lorenz_coefficients,configs/targets/tab_lorenz_coefficients.json,artifacts/tables/tab_lorenz_coefficients.tex,numeric-equivalence,support-and-max-abs-coeff-err,support exact; max_abs_coeff_err<=0.15,MATCHED,tab:lorenz-coefficients
fig_lorenz_attractor,figure,FIG00BIG / FIG02 attractor family,"arxiv.tex:337, 720-800",python3 scripts/run_target.py --target-id fig_lorenz_attractor,configs/targets/fig_lorenz_attractor.json,artifacts/figures/fig_lorenz_attractor.png,qualitative-structural,bounded-two-lobed-attractor,identified trajectory bounded and two-lobed (lobe switches > 10),MATCHED,fig:lorenz-attractor
fig_lorenz_error,figure,Lorenz error-growth discussion / FIG02 family,arxiv.tex:800-935,python3 scripts/run_target.py --target-id fig_lorenz_error,configs/targets/fig_lorenz_error.json,artifacts/figures/fig_lorenz_error.png,qualitative-structural,short-horizon-rmse-and-divergence,rmse(t<=1)<=0.5; long-horizon divergence to attractor scale; identified bounded,MATCHED,fig:lorenz-error
tab_logistic_coefficients,table,Tab:Logistic (Appendix),arxiv.tex:1655-1690,python3 scripts/run_target.py --target-id tab_logistic_coefficients,configs/targets/tab_logistic_coefficients.json,artifacts/tables/tab_logistic_coefficients.tex,numeric-equivalence,support-and-max-abs-coeff-err,support exact; max_abs_coeff_err<=0.02,MATCHED,tab:logistic-coefficients
fig_logistic_bifurcation,figure,Fig:Logistic,arxiv.tex:1220-1292,python3 scripts/run_target.py --target-id fig_logistic_bifurcation,configs/targets/fig_logistic_bifurcation.json,artifacts/figures/fig_logistic_bifurcation.png,qualitative-structural,attracting-set-distance,"attracting-set distance <= 0.05 at mu in {2.5, 3.25, 3.9}",MATCHED,fig:logistic-bifurcation
tab_hopf_coefficients,table,Tab:Hopf (Appendix),arxiv.tex:1689-1757,python3 scripts/run_target.py --target-id tab_hopf_coefficients,configs/targets/tab_hopf_coefficients.json,artifacts/tables/tab_hopf_coefficients.tex,numeric-equivalence,support-and-max-abs-dev-from-truth,support exact; max_abs_dev_from_truth<=0.12 (paper's own deviation ~0.08),MATCHED,tab:hopf-coefficients
fig_hopf_reconstruction,figure,Fig:HopfReconstruct,arxiv.tex:1340-1370,python3 scripts/run_target.py --target-id fig_hopf_reconstruction,configs/targets/fig_hopf_reconstruction.json,artifacts/figures/fig_hopf_reconstruction.png,qualitative-structural,limit-cycle-radius-and-fixed-point,limit-cycle radius rel err <= 0.10 for mu>0; fixed-point convergence for mu<0,MATCHED,fig:hopf-reconstruction
